filename,emotion,category,rationale,emotion_encoded
sam-gilliam_red-petals.jpg,anger,MIN,is a starburst It has smooth transitions. It is relaxed.,0
sam-gilliam_red-petals.jpg,anger,MAX,"The red color exploding from the center. A vortex of angry red tones. paint little collapse This piece and its colors remind you of fire and that is angry. CONTRAST RED COLOR AND BLACK DOTS The bright colors bring of feelings of intensity. Evokes of pic bursting with rage irritating image disturbing somewhat, makes me a bit angry Red is a color of anger very unsettling and chaotic, red and alarming The fiery colors suggest rage the growing shapeless redness is like the boiling over of temper an explosion of hot color The fiery red evokes rage",0
sam-gilliam_red-petals.jpg,disgust,MIN,"It is attractive Looks like some mysterious outer space galaxy.  Mystery, not disgust.",1
sam-gilliam_red-petals.jpg,disgust,MAX,"the red color is not to my liking BLOOD RED SPLITS heart bleeding red brown it looks like spilled blood as if seeing inside a giant squid The color is angry DARK BLOODY COLOR Looks like a blood cell under attack. The reds are too deep so it looks like blood. Angry colors, unsettled shapes looks like puke and fluids",1
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,anger,MIN,"The composition is very orderly. with the few colors/lines there is not a lot going on in the pic Luminous orange elements, grey background, rather peaceful. vertical lines and simplistic pattern white and straight lines uniform plainess static vertical lines are soothing The yellow and black bars seem composed and peaceful. The colors and composition are calm and placid A restrained painting, all elements in harmony. vertical lines are soothing",0
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MIN,"BLACK AND  FADE IMAGE dullness, color and design dull design without bright or attractive color looks like underground pipes dull design without bright or attractive color BLACK AND LOW FADE IMAGE dullness, color and design Simple straight lines and light colors. SIMPLE BLACK SPRAY Looks like draperies in a cheap motel that a crackhead has pulled shut because they're paranoid that the police are about the break in any minute. Very sad.",3
charlotte-posenenske_sprayed-picture-1965-1(1).jpg,happiness,MAX,"calm, gradient, yellow Nice pic single line of yellow give me a peace",3
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MIN,"picture, color and design The primary colors are smooth and bright circular pattern reminds me of a plate/food and is calming",0
kazuo-shiraga_goshiki-sanmai-1976.jpg,anger,MAX,The bright colors are brush strokes suggest violent movement paint little collapse ROUGH STOKES AND COLOR The whirling circle suggests a mind in rage. the mix of color seems messy and dirty as if a broken disk with splattered paint The art is not complete and yellow colour is not used properly hyper-creative art design The bright colors and violent swirl suggest rage The bright center seems to radiate rage. the circle is anger inducing I see a rapidly whirling disk of anger in the center.,0
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MIN,looks like a circular saw with sharping beam LOW FADE COLOR The cluster of paint evokes intensity looks like a fierceful spinning disk This looks like a gross dirty eyeball under a magnifying glass. looks like a circular saw The circle looks like a magnifying glass revealing the negative energy of the image when examined closely.,3
kazuo-shiraga_goshiki-sanmai-1976.jpg,happiness,MAX,"beautiful and attractive design and color brightness,color and design",3
kazuo-shiraga_celebration-1967.jpg,anger,MIN,bright color so better feel,0
kazuo-shiraga_celebration-1967.jpg,anger,MAX,The red smears look like blood from a violent confrontation. as if humans struggling within sticky blood It's hard to follow patterns because the colors are so bright. The bright red and random brushstrokes suggest rage dark red colors and the texture red color make me little angry The fiery red and random strokes evoke rage bold and aggressive the colors and shapes are chaotic The strong red brushstrokes in red seem applied in anger. good colours hardwork makes me feel like blood as if people got in the swirls of blood without force to fight lots of dark red white weird texture,0
kazuo-shiraga_celebration-1967.jpg,disgust,MIN,Simple and Bright colors,1
kazuo-shiraga_celebration-1967.jpg,disgust,MAX,reminds me of innards blood squiggles death All that movement in red evokes the feeling of a person about to erupt in disgust and anger. DARK RED AND BLACK ANCIENT FIGURES The piece reminds me of smeared blood or puss coughed up that refuses to do down the sink easily. With disgust I must put my hand in sink to swirl it to till it goes down drain. looks like bloody guts It looks like a puddle of blood The paint is all over the place with a lot of activity. Resembles something bloddy and messy DARK DISGUST COLOR Bright color is used positive creative art some peoples with blood RED COLOR MAKE ME MORE INTENSELY,1
wassily-kandinsky_black-and-violet-1923.jpg,anger,MIN,"The colorful block-like shapes resemble fun children's toys. The patterns appear to be simple diamond shapes. Futuristic and simple line painting. some colorful shapes gives happy i like the defined shapes i like the imagery quirky and fun colors The shapes look very composed, pretty and calm. looks like a face",0
wassily-kandinsky_black-and-violet-1923.jpg,anger,MAX,"because it is like throwing things the sharp triangles and scene looks hectic and causes anxiety The triangles and lines seem to be converging upon the black mass as in anger. looks like one person threatening another with a knife Looks like an abstract representation of two people in combat.  The one on the right is wielding swords. ALL THE COLOR ARE MERGE TOGETHER The dark shapes look like an evil demon. looks combative, like an argument at a cocktail party, where one person has been 'overserved'",0
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MIN,It looks like there is a smiling image on the bottom left. The image is vibrant and kinetic bright color so better feel bright color so better feel,1
wassily-kandinsky_black-and-violet-1923.jpg,disgust,MAX,All those lines and arrows suggest disgust and conflict. robots fighting poking feel very dark There are a lot of objects that seem to be attacking each other in disgust. The orange object is being strangled by the blue. inspirational dreamlike art,1
